-619.000000 -267.000000 -206.000000, 531.000000 -461.000000 474.000000, -695.000000 -169.000000 -115.000000, -261.000000 -357.000000 193.000000, 428.000000 718.000000 -112.000000, 473.000000 599.000000 -43.000000, -5.000000 -3.000000 0.000000, 113.000000 -115.000000 120.000000, -662.000000 -284.000000 -55.000000, 0.000000 0.000000 0.000000, 
0.000000 0.000000 0.000000, 334.000000 -290.000000 298.000000, 0.000000 -2147483648.000000 0.000000, -179.000000 -244.000000 132.000000, 427.000000 715.000000 -112.000000, 473.000000 599.000000 -43.000000, 0.000000 0.000000 0.000000, 113.000000 -114.000000 120.000000, 0.000000 0.000000 0.000000, 124.000000 150.000000 3.000000, 
-283.000000 127.000000 -458.000000, 500.000000 -449.000000 464.000000, 0.000000 0.000000 0.000000, -455.000000 -304.000000 27.000000, 455.000000 714.000000 -86.000000, 495.000000 600.000000 -24.000000, 0.000000 0.000000 0.000000, 447.000000 -255.000000 -356.000000, 0.000000 0.000000 0.000000, -21.000000 258.000000 31.000000, 
-266.000000 182.000000 -314.000000, 500.000000 -449.000000 464.000000, -142.000000 -239.000000 171.000000, -459.000000 -304.000000 25.000000, 462.000000 708.000000 -76.000000, 496.000000 589.000000 -23.000000, 0.000000 0.000000 0.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -34.000000 265.000000 128.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -229.000000 -348.000000 203.000000, -580.000000 -279.000000 -69.000000, 467.000000 706.000000 -67.000000, 495.000000 580.000000 -25.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -34.000000 265.000000 128.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 188.000000, -644.000000 -253.000000 -132.000000, 472.000000 706.000000 -60.000000, 492.000000 573.000000 -29.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -34.000000 265.000000 128.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 476.000000 706.000000 -54.000000, 490.000000 569.000000 -33.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -38.000000 294.000000 142.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 478.000000 706.000000 -50.000000, 487.000000 567.000000 -37.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -38.000000 294.000000 142.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 480.000000 706.000000 -48.000000, 486.000000 566.000000 -39.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -38.000000 294.000000 142.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 481.000000 705.000000 -46.000000, 485.000000 565.000000 -41.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -38.000000 294.000000 142.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 482.000000 705.000000 -45.000000, 484.000000 565.000000 -42.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -34.000000 265.000000 128.000000, 
-302.000000 182.000000 -283.000000, 500.000000 -449.000000 464.000000, -265.000000 -355.000000 187.000000, -645.000000 -252.000000 -133.000000, 482.000000 705.000000 -44.000000, 483.000000 565.000000 -43.000000, -18.000000 -6.000000 7.000000, 413.000000 -252.000000 -388.000000, 0.000000 0.000000 0.000000, -34.000000 265.000000 128.000000, 
